d14,ad,day7,m1,m3,m6,m12,m18,m24,m60
0,2018-06-24,-1.0,2.0,6.0,13.0,42.0,48.0,54.0,54.0
0,2018-06-24,4.0,5.0,12.0,21.0,67.0,73.0,80.0,80.0
0,2018-06-24,3.0,10.0,25.0,36.0,66.0,68.0,68.0,68.0
0,2018-06-24,-1.0,16.0,33.0,33.0,33.0,33.0,35.0,35.0
0,2018-06-24,-1.0,2.0,7.0,30.0,33.0,36.0,36.0,36.0
0,2018-06-24,3.0,7.0,10.0,24.0,36.0,41.0,41.0,41.0
0,2018-06-24,3.0,5.0,25.0,28.0,35.0,35.0,35.0,35.0
0,2018-06-24,5.0,20.0,32.0,39.0,40.0,40.0,40.0,40.0
0,2018-06-24,5.0,15.0,19.0,30.0,54.0,89.0,93.0,97.0
0,2018-06-24,-1.0,6.0,19.0,37.0,52.0,64.0,65.0,65.0
0,2018-06-24,-1.0,-1.0,2.0,9.0,9.0,9.0,10.0,10.0
0,2018-06-24,-1.0,3.0,27.0,27.0,27.0,27.0,27.0,27.0
0,2018-06-24,9.0,28.0,62.0,81.0,86.0,87.0,87.0,87.0
0,2018-06-24,2.0,5.0,11.0,26.0,29.0,29.0,29.0,29.0
0,2018-06-24,2.0,18.0,35.0,56.0,80.0,98.0,106.0,106.0
0,2018-06-24,14.0,27.0,63.0,65.0,82.0,84.0,84.0,84.0
0,2018-06-24,-1.0,3.0,14.0,21.0,26.0,26.0,26.0,26.0
0,2018-06-24,5.0,18.0,20.0,22.0,47.0,56.0,56.0,56.0
0,2018-06-24,2.0,7.0,8.0,9.0,31.0,32.0,32.0,32.0
0,2018-06-24,7.0,13.0,38.0,53.0,60.0,60.0,60.0,61.0
0,2018-06-24,3.0,4.0,9.0,9.0,10.0,14.0,15.0,15.0
1,2018-06-24,9.0,17.0,44.0,60.0,78.0,85.0,86.0,86.0
0,2018-06-24,-1.0,2.0,9.0,13.0,52.0,52.0,52.0,52.0
0,2018-06-24,7.0,12.0,17.0,18.0,34.0,35.0,35.0,35.0
0,2018-06-24,2.0,16.0,23.0,24.0,27.0,28.0,28.0,28.0
0,2018-06-24,-1.0,-1.0,11.0,11.0,11.0,11.0,11.0,11.0
0,2018-06-24,2.0,10.0,26.0,31.0,41.0,42.0,42.0,43.0
0,2018-06-24,2.0,6.0,18.0,20.0,50.0,51.0,51.0,51.0
0,2018-06-24,-1.0,7.0,7.0,7.0,19.0,19.0,19.0,19.0
0,2018-06-24,2.0,4.0,12.0,24.0,27.0,28.0,28.0,28.0
1,2018-06-24,-1.0,8.0,12.0,12.0,12.0,16.0,16.0,16.0
0,2018-06-24,3.0,9.0,59.0,68.0,87.0,87.0,87.0,87.0
0,2018-06-24,3.0,6.0,24.0,32.0,44.0,47.0,51.0,51.0
0,2018-06-24,-1.0,4.0,9.0,13.0,16.0,16.0,16.0,16.0
0,2018-06-24,2.0,4.0,21.0,26.0,32.0,36.0,40.0,41.0
0,2018-06-24,2.0,2.0,6.0,9.0,16.0,16.0,16.0,16.0
0,2018-06-24,2.0,13.0,18.0,20.0,20.0,40.0,42.0,42.0
