d14,day7,m1,m3,m6,m12,m18,m24,m60,age,ad,extr
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181114
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181111
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181110
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181119
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181113
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181105
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181118
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181103
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181106
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181105
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181113
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181112
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181117
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181120
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181121
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181104
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181107
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181114
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181111
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181110
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181119
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181113
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181112
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181105
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181118
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181103
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181106
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181105
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181113
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181112
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181117
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181120
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181121
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181104
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181107
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181114
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181111
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181110
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181119
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181113
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181112
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181105
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181118
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181103
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181106
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181105
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181113
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181112
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181117
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181120
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181121
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181104
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181107
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181114
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181111
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181110
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181119
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181113
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181112
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181105
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181118
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181103
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181106
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181105
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181113
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181112
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181117
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181120
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181121
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181104
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181107
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181114
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181111
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181110
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181119
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181113
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181112
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181105
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181118
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181103
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181106
0,-1.0,,6.0,13.0,42.0,48.0,54.0,大学,10,2018/6/19,20181105
